street_name,cleaning_day
AKRON AVE,Monday
ARDEN LN,Monday
ARDEN PL,Monday
ARLINGTON PARK,Monday
BEAVER ALLEY,Monday
BEVERLY RD,Monday
BLUE SPRUCE CIR,Monday
BRIAR MEADOWS DR,Monday
CHURCH PL,Monday
COCHRAN RD (LARCHMONT TO BOWER HILL),Monday
COLONIAL DR,Monday
COLONY CIR,Monday
COUCH FARM RD,Monday
DAN DR,Monday
DELL AVE,Monday
DERBY ALLEY,Monday
DIXON AVE,Monday
DORCHESTER AVE,Monday
EDGEHILL AVE,Monday
EDWARD AVE,Monday
ELM SPRING RD,Monday
GLEN RIDGE LN,Monday
GREENLAWN DR,Monday
HELEN DR,Monday
HILLCREST PL,Monday
HOLLY LN,Monday
ILLINOIS AVE,Monday
KENFOREST DR,Monday
KENMONT AVE (NORTH OF BOWER HILL),Monday
LARCHMONT RD,Monday
LAVINA AVE,Monday
LAYTON AVE,Monday
LYNDHURST AVE,Monday
MANOR PL,Monday
MARLIN DR (BOWER HILL TO MCCULLY),Monday
MARLIN DR E,Monday
MARLIN DR W,Monday
MARTIN AVE,Monday
MCCANN PL,Monday
MCCORMICK LN,Monday
MCCULLY ST,Monday
MCFARLAND RD,Monday
MCMONAGLE AVE,Monday
MIDWAY RD,Monday
MISSISSIPPI AVE,Monday
MORRISON DR,Monday
MORTON LN,Monday
N MEADOWCROFT AVE,Monday
NEULON AVE,Monday
NEWBURN DR,Monday
NORTHRIDGE DR,Monday
OAK FOREST DR,Monday
OSAGE RD,Monday
OSAGE LN,Monday
OVERLOOK DR,Monday
PARKER DR,Monday
PENNSYLVANIA BLVD (DEAD END),Monday
PINE AVE,Monday
PINE SHADOWS DR,Monday
PINETREE RD,Monday
RACINE AVE,Monday
RALSTON PL,Monday
RIDGEFIELD AVE,Monday
ROBINWOOD DR,Monday
ROYCE AVE,Monday
GREENLAWN DR,Monday
SCRUBGRASS RD,Monday
SHADOWLAWN AVE,Monday
SHADY LN,Monday
SIEFAFORTH AVE,Monday
THEODAN DR,Monday
TWIN HILLS DR,Monday
VALLEYVIEW RD,Monday
WASSON PL,Monday
WILLIAMSBURG LN,Monday
WILLIAMSBURG RD,Monday
ACADEMY PL,Tuesday
ALEXANDER PL,Tuesday
ALTOONA PL,Tuesday
ARROWOOD DR,Tuesday
AUSTIN AVE,Tuesday
BETHANY DR,Tuesday
BOWER HILL RD,Tuesday
BOXWOOD DR,Tuesday
CARLETON DR,Tuesday
CARNEGIE DR,Tuesday
CHALMERS PL,Tuesday
CLEMSON DR,Tuesday
COCHRAN RD (BOWER HILL TO CEDAR),Tuesday
CORACE DR,Tuesday
